Digest,Method,Bytes,Microseconds,Bytes/Microsecond,MiB/Second,Microseconds/Byte
md4,chan,64,10.905,5.87,5.60,0.1704
md4,chan,128,10.231,12.51,11.93,0.0799
md4,chan,256,11.697,21.89,20.88,0.0457
md4,chan,512,13.171,38.87,37.07,0.0257
md4,chan,1024,17.073,59.98,57.20,0.0167
md4,chan,2048,24.006,85.31,81.36,0.0117
md4,chan,4096,38.103,107.50,102.52,0.0093
md4,chan,8192,66.363,123.44,117.72,0.0081
md4,chan,16384,123.111,133.08,126.91,0.0075
md4,chan,32768,235.723,139.01,132.57,0.0072
md4,chan,65536,468.151,139.99,133.50,0.0071
md4,chan,131072,927.128,141.37,134.82,0.0071
md4,chan,262144,1829.052,143.32,136.68,0.0070
md4,chan,524288,3668.491,142.92,136.30,0.0070
md4,chan,1048576,7367.715,142.32,135.73,0.0070
md4,chan,2097152,14804.126,141.66,135.10,0.0071
md4,chan,4194304,29740.082,141.03,134.50,0.0071
md4,chan,8388608,59540.550,140.89,134.36,0.0071
md4,chan,16777216,118800.222,141.22,134.68,0.0071
md4,chan,33554432,237692.208,141.17,134.63,0.0071
md4,chan,67108864,475474.367,141.14,134.60,0.0071
md5,chan,64,9.485,6.75,6.44,0.1482
md5,chan,128,9.549,13.40,12.78,0.0746
md5,chan,256,9.981,25.65,24.46,0.0390
md5,chan,512,17.121,29.90,28.51,0.0334
md5,chan,1024,13.547,75.59,72.09,0.0132
md5,chan,2048,18.151,112.83,107.60,0.0089
md5,chan,4096,27.516,148.86,141.96,0.0067
md5,chan,8192,46.423,176.46,168.29,0.0057
md5,chan,16384,85.640,191.31,182.45,0.0052
md5,chan,32768,161.944,202.34,192.97,0.0049
md5,chan,65536,314.350,208.48,198.82,0.0048
md5,chan,131072,622.748,210.47,200.72,0.0048
md5,chan,262144,1224.644,214.06,204.14,0.0047
md5,chan,524288,2454.053,213.64,203.74,0.0047
md5,chan,1048576,4977.519,210.66,200.90,0.0047
md5,chan,2097152,10026.040,209.17,199.48,0.0048
md5,chan,4194304,20127.393,208.39,198.74,0.0048
md5,chan,8388608,39925.346,210.11,200.38,0.0048
md5,chan,16777216,79872.679,210.05,200.32,0.0048
md5,chan,33554432,159981.849,209.74,200.02,0.0048
md5,chan,67108864,322049.049,208.38,198.73,0.0048
sha1,chan,64,9.915,6.45,6.15,0.1549
sha1,chan,128,14.893,8.59,8.19,0.1164
sha1,chan,256,16.556,15.46,14.74,0.0647
sha1,chan,512,12.827,39.92,38.07,0.0251
sha1,chan,1024,17.729,57.76,55.08,0.0173
sha1,chan,2048,32.271,63.46,60.52,0.0158
sha1,chan,4096,35.704,114.72,109.41,0.0087
sha1,chan,8192,60.396,135.64,129.36,0.0074
sha1,chan,16384,96.929,169.03,161.20,0.0059
sha1,chan,32768,194.278,168.67,160.86,0.0059
sha1,chan,65536,382.613,171.29,163.35,0.0058
sha1,chan,131072,767.384,170.80,162.89,0.0059
sha1,chan,262144,1484.993,176.53,168.35,0.0057
sha1,chan,524288,2970.149,176.52,168.34,0.0057
sha1,chan,1048576,5955.784,176.06,167.90,0.0057
sha1,chan,2097152,11865.748,176.74,168.55,0.0057
sha1,chan,4194304,23768.768,176.46,168.29,0.0057
sha1,chan,8388608,47396.637,176.99,168.79,0.0057
sha1,chan,16777216,94744.118,177.08,168.88,0.0056
sha1,chan,33554432,188385.998,178.12,169.87,0.0056
sha1,chan,67108864,377562.292,177.74,169.51,0.0056
sha2,chan,64,9.942,6.44,6.14,0.1553
sha2,chan,128,10.326,12.40,11.83,0.0807
sha2,chan,256,11.854,21.60,20.60,0.0463
sha2,chan,512,13.911,36.81,35.10,0.0272
sha2,chan,1024,19.004,53.88,51.38,0.0186
sha2,chan,2048,28.592,71.63,68.31,0.0140
sha2,chan,4096,47.729,85.82,81.84,0.0117
sha2,chan,8192,85.750,95.53,91.10,0.0105
sha2,chan,16384,168.125,97.45,92.94,0.0103
sha2,chan,32768,315.546,103.85,99.04,0.0096
sha2,chan,65536,627.901,104.37,99.53,0.0096
sha2,chan,131072,1250.216,104.84,99.98,0.0095
sha2,chan,262144,2452.493,106.89,101.94,0.0094
sha2,chan,524288,4913.414,106.71,101.77,0.0094
sha2,chan,1048576,9944.036,105.45,100.56,0.0095
sha2,chan,2097152,19890.669,105.43,100.55,0.0095
sha2,chan,4194304,39775.360,105.45,100.56,0.0095
sha2,chan,8388608,79567.848,105.43,100.55,0.0095
sha2,chan,16777216,159543.411,105.16,100.29,0.0095
sha2,chan,33554432,319749.529,104.94,100.08,0.0095
sha2,chan,67108864,639550.816,104.93,100.07,0.0095
sha3,chan,64,19.328,3.31,3.16,0.3020
sha3,chan,128,19.012,6.73,6.42,0.1485
sha3,chan,256,28.160,9.09,8.67,0.1100
sha3,chan,512,51.179,10.00,9.54,0.1000
